Day,Activity,Date,Note
Day 0,Fly out of DWF at 11PM to London,"Friday, June 26, 2026",
Day 1,Arrive London,"Saturday, June 27, 2026",Arrive 12:50PM
Day 2,London,"Sunday, June 28, 2026",
Day 3,Train from London to Parish (3 hours),"Monday, June 29, 2026",Already bought tickets leaving London St Pancras Int'l at 4:01PM.  Arrive Paris Gare du Nord 7:19PM
Day 4,Parish,"Tuesday, June 30, 2026",
Day 5,Parish,"Wednesday, July 1, 2026",
Day 6,Train from Paris to Geneva (3.5 hours),"Thursday, July 2, 2026",Already bought tickets leaving PARIS GARE DE LYON at 12:18 PM.  Arrive GENEVE CFF/Cornavin 3:28PM
Day 7,Geneva,"Friday, July 3, 2026",
Day 8,Geneva,"Saturday, July 4, 2026",
Day 9,"Fly from Geneva to Venice, Italy","Sunday, July 5, 2026",Already bought tickets leaving Geneva (GVA) at 11:45AM.  Arrive Venice Marco Polo (VCE)  1PM
Day 10,"Venice, Italy","Monday, July 6, 2026",
Day 11,Train from Venice to Rome (late afternoon),"Tuesday, July 7, 2026",Need to buy tickets.  https://www.trenitalia.com/en.html
Day 12,Vatican,"Wednesday, July 8, 2026",
Day 13,Vatican,"Thursday, July 9, 2026",
Day 14,Rome,"Friday, July 10, 2026",
Day 15,Rome,"Saturday, July 11, 2026",
Day 16,Fly back to US,"Sunday, July 12, 2026",Fly out 1:10PM.  Arrive Dallas 6:25PM
